ds,y,yhat,yhat_lower,yhat_upper
2018-10-18 00:00:00,0.04,0.27473357937690807,0.0,1.2556764267081884
2018-10-18 01:00:00,0.08,0.2553411264342772,0.0,1.3045709740251061
2018-10-18 02:00:00,0.08,0.1700855105014205,0.0,1.1252734082113507
2018-10-18 03:00:00,0.04,0.052457264693304195,0.0,1.109364234284559
2018-10-18 04:00:00,0.08,0.009416439353458372,0.0,1.1142233451323704
2018-10-18 05:00:00,0.04,0.11265331625195396,0.0,1.1222476158582477
2018-10-18 06:00:00,0.24,0.3149768839380387,0.0,1.349973805909333
2018-10-18 07:00:00,0.48,0.47870788722074076,0.0,1.5713592955397253
2018-10-18 08:00:00,0.52,0.49294154058546014,0.0,1.5843981685225186
2018-10-18 09:00:00,0.24,0.36826747612456684,0.0,1.4105566327738421
2018-10-18 10:00:00,0.12,0.21897914380094272,0.0,1.2317904787688922
2018-10-18 11:00:00,0.12,0.15275548457421784,0.0,1.1711702236949177
2018-10-18 12:00:00,0.16,0.17703047585408743,0.0,1.2737319319997704
2018-10-18 13:00:00,0.12,0.21155814243850407,0.0,1.2198358703070238
2018-10-18 14:00:00,0.08,0.1886910486132915,0.0,1.1877568441342308
2018-10-18 15:00:00,0.16,0.13516641864860535,0.0,1.150959787088734
2018-10-18 16:00:00,0.08,0.14943213779013753,0.0,1.1282127001855187
2018-10-18 17:00:00,0.24,0.29592127298679827,0.0,1.3136047205017802
2018-10-18 18:00:00,0.2,0.5239057738944904,0.0,1.5127228113938207
2018-10-18 19:00:00,0.2,0.6964837611244118,0.0,1.7912998403604372
2018-10-18 20:00:00,0.4,0.7063180897656129,0.0,1.7086243507378729
2018-10-18 21:00:00,0.48,0.5676794243717287,0.0,1.6077857270405562
2018-10-18 22:00:00,0.28,0.39643413961472157,0.0,1.4028636108814379
2018-10-18 23:00:00,0.28,0.2992656658849343,0.0,1.406665360757127
2018-10-19 00:00:00,0.2,0.28158315675163015,0.0,1.2567910273733582
2018-10-19 01:00:00,0.28,0.26265838555122656,0.0,1.2840317832447496
2018-10-19 02:00:00,0.2,0.1779079440582304,0.0,1.1646317485304738
2018-10-19 03:00:00,0.24,0.060823931709870716,0.0,1.0331737664800764
2018-10-19 04:00:00,0.2,0.018368625210077927,0.0,1.0404301682965966
2018-10-19 05:00:00,0.24,0.12223517746842205,0.0,1.1039519988187838
2018-10-19 06:00:00,0.28,0.3252360607220748,0.0,1.2877601507339058
2018-10-19 07:00:00,0.2,0.4896960671101472,0.0,1.4736236124937687
2018-10-19 08:00:00,0.52,0.5047149570826541,0.0,1.5067983163801266
2018-10-19 09:00:00,0.76,0.38088732700501055,0.0,1.4425956343620765
2018-10-19 10:00:00,0.88,0.23251191493753592,0.0,1.2271766423935786
2018-10-19 11:00:00,0.68,0.16727316628040184,0.0,1.1807723856647765
2018-10-19 12:00:00,0.28,0.19261066039541402,0.0,1.1804200625105408
2018-10-19 13:00:00,0.28,0.22828399302306257,0.0,1.2813129094286377
2018-10-19 14:00:00,0.32,0.2066511320087388,0.0,1.2919643671836667
2018-10-19 15:00:00,0.32,0.15445439569597602,0.0,1.1460136442554794
2018-10-19 16:00:00,0.32,0.1701463081763288,0.0,1.2451360505544493
2018-10-19 17:00:00,0.24,0.3181639729206397,0.0,1.27050641912249
2018-10-19 18:00:00,0.24,0.5477826275417085,0.0,1.53606325292839
2018-10-19 19:00:00,0.24,0.7221027892425125,0.0,1.657091133518514
2018-10-19 20:00:00,0.24,0.733788680910884,0.0,1.7714831847869696
